team,player,overall
Portugal,Cristiano Ronaldo,94
Argentina,L. Messi,94
Brazil,Neymar Jr,92
Spain,De Gea,91
Belgium,K. De Bruyne,91
Spain,Sergio Ramos,91
Uruguay,L. Suárez,91
Croatia,L. Modrić,91
Belgium,E. Hazard,91
Slovenia,J. Oblak,90
Belgium,T. Courtois,90
Germany,M. Neuer,90
Uruguay,D. Godín,90
Germany,T. Kroos,90
Poland,R. Lewandowski,90
Argentina,P. Dybala,89
Germany,M. ter Stegen,89
Spain,Isco,89
England,H. Kane,89
France,A. Griezmann,89
France,N. Kanté,89
Italy,G. Chiellini,89
Argentina,S. Agüero,89
Spain,David Silva,89
Germany,M. Hummels,89
Uruguay,E. Cavani,89
Denmark,C. Eriksen,88
France,P. Pogba,88
Brazil,Casemiro,88
Brazil,Coutinho,88
Colombia,J. Rodríguez,88
Egypt,M. Salah,88
Italy,G. Buffon,88
Slovenia,S. Handanovič,88
Brazil,Thiago Silva,88
Argentina,G. Higuaín,88
France,H. Lloris,88
Wales,G. Bale,88
Brazil,Marcelo,88
Spain,Sergio Busquets,88
Italy,L. Insigne,88
France,K. Mbappé,87
France,S. Umtiti,87
Senegal,K. Koulibaly,87
Argentina,M. Icardi,87
Belgium,R. Lukaku,87
Spain,Piqué,87
Croatia,I. Rakitić,87
Slovakia,M. Hamšík,87
Belgium,J. Vertonghen,87
Belgium,D. Mertens,87
Chile,A. Sánchez,87
Gabon,P. Aubameyang,87
Spain,Jordi Alba,87
Italy,C. Immobile,87
Costa Rica,K. Navas,87
Germany,L. Sané,86
France,R. Varane,86
Brazil,Ederson,86
Italy,M. Verratti,86
Brazil,Roberto Firmino,86
Spain,Azpilicueta,86
Senegal,S. Mané,86
Brazil,Fernandinho,86
Brazil,Naldo,86
Germany,M. Özil,86
Morocco,M. Benatia,86
Bosnia and Herzegovina,M. Pjanić,86
Croatia,I. Perišić,86
Germany,J. Boateng,86
Italy,L. Bonucci,86
Spain,Thiago,86
Spain,Parejo,86
Germany,T. Müller,86
Brazil,Douglas Costa,86
Brazil,Alex Sandro,86
Serbia,N. Matić,86
Argentina,N. Otamendi,86
Spain,Marco Asensio,85
Slovakia,M. Škriniar,85
Spain,Saúl,85
Brazil,Alisson,85
Serbia,S. Milinković-Savić,85
Brazil,Fabinho,85
France,N. Fekir,85
England,R. Sterling,85
Germany,J. Kimmich,85
Greece,K. Manolas,85
Austria,D. Alaba,85
Netherlands,V. van Dijk,85
Belgium,T. Alderweireld,85
Spain,Koke,85
Netherlands,A. Robben,85
Sweden,Z. Ibrahimović,85
Portugal,Pepe,85
Belgium,V. Kompany,85
France,F. Ribéry,85
Brazil,Filipe Luís,85
Colombia,Falcao,85
Brazil,Miranda,85
France,B. Matuidi,85
Belgium,R. Nainggolan,85
Spain,Diego Costa,85
Germany,S. Khedira,85
Bosnia and Herzegovina,E. Džeko,85
Chile,A. Vidal,85
Algeria,Y. Brahimi,85
Brazil,Paulinho,85
Germany,M. Reus,85
Spain,Iago Aspas,85
Algeria,R. Mahrez,85
