team,player,overall
Italy,G. Pasquale,69
Spain,Luis García,71
England,J. Cole,71
Trinidad and Tobago,D. Yorke,68
Spain,Iniesta,81
Germany,D. Odonkor,66
Turkey,E. Belözoğlu,77
Wales,R. Giggs,78
England,G. Neville  B,76
England,P. Scholes,80
England,P. Neville,74
England,D. Beckham,78
Republic of Ireland,R. Keane,80
England,S. Campbell,75
Germany,O. Kahn,87
Germany,D. Hamann,61
Nigeria,A. Okocha,73
Brazil,Zulu,66
Australia,M. Schwarzer,73
Germany,J. Lehmann,79
Hungary,G. Király,69
Brazil,Roberto Carlos,79
Argentina,J. Zanetti,75
Italy,A. Del Piero,70
Italy,A. Nesta,73
Italy,P. Maldini,77
Italy,G. Buffon,82
Italy,F. Cannavaro,82
Portugal,Couto,82
Italy,F. Inzaghi,73
Italy,C. Abbiati,75
Portugal,Marco Paulo,61
Italy,F. Totti,80
Netherlands,C. Seedorf,82
France,P. Vieira,76
France,L. Thuram,83
France,T. Henry,79
France,C. Makélelé,74
France,G. Coupet,75
Norway,O. Solskjær,75
England,L. Bowyer,69
Netherlands,M. Stekelenburg,72
Tunisia,H. Trabelsi,79
Germany,R. Weidenfeller,75
England,E. Heskey,66
Portugal,Eliseu,76
Republic of Ireland,S. Given,73
England,K. Ellison,58
Republic of Ireland,R. Delap,63
Bulgaria,S. Petrov,76
Portugal,Tarantini,72
England,S. Wright-Phillips,68
Brazil,Yuri,71
Republic of Ireland,J. O'Shea,66
Portugal,Ricardo Carvalho,79
Germany,M. Ballack,80
Brazil,Dida,75
Germany,B. Schneider,80
Portugal,Simão,74
Poland,A. Radomski,63
Italy,G. Gattuso,78
United States,C. Reyna,76
Brazil,Cafu,83
Italy,M. Oddo B,71
France,B. Mendy,63
England,M. Owen,74
Mali,M. Bagayoko,71
England,J. Carragher,77
England,F. Lampard,78
Spain,Casillas,79
Portugal,Figo,78
Netherlands,E. Davids,64
Finland,J. Litmanen,75
Netherlands,P. Kluivert,81
Netherlands,J. Stam,82
Iceland,E. Gudjohnsen,71
France,N. Anelka,77
Italy,A. Gilardino,72
France,D. Trezeguet,74
Czech Republic,M. Jankulovski,72
Czech Republic,P. Nedved,80
England,G. Barry,70
Serbia,D. Stanković,78
Sweden,F. Ljungberg,74
Georgia,K. Kaladze,76
England,R. Ferdinand,75
Argentina,H. Crespo,76
Italy,A. Cassano,76
United States,L. Donovan,73
Italy,A. Pirlo,77
Netherlands,R. van Persie,78
Denmark,D. Rommedahl,65
Argentina,G. Heinze,74
Czech Republic,T. Rosický,79
England,S. Parker,72
Senegal,O. Daf,64
Australia,M. Viduka,74
Argentina,L. Scaloni,65
Spain,Manuel Pablo,67
Netherlands,A. Robben,80
Israel,Y. Benayoun,76
Cameroon,S. Eto'o,81
Wales,C. Bellamy,73
Netherlands,R. van Nistelrooy,77
Spain,Xavi,86
Czech Republic,M. Heinz,64
England,C. Porter,63
Greece,T. Dellas,72
Germany,G. Asamoah,66
