team,player,overall
Argentina,L. Messi,93
Portugal,Cristiano Ronaldo,92
Netherlands,A. Robben,90
Sweden,Z. Ibrahimović,90
Germany,M. Neuer,90
Uruguay,L. Suárez,89
Belgium,E. Hazard,88
Netherlands,R. van Persie,88
Germany,B. Schweinsteiger,88
France,F. Ribéry,88
Colombia,Falcao,88
Wales,G. Bale,87
Poland,R. Lewandowski,87
Germany,P. Lahm,87
Spain,Sergio Ramos,87
Brazil,Thiago Silva,87
Spain,David Silva,87
Croatia,L. Modrić,87
Colombia,J. Rodríguez,86
Brazil,Neymar,86
Belgium,T. Courtois,86
Germany,M. Hummels,86
Argentina,A. Di María,86
Germany,M. Reus,86
Germany,T. Müller,86
Argentina,S. Agüero,86
Germany,M. Özil,86
Spain,Xavi,86
Ivory Coast,Y. Touré,86
England,W. Rooney,86
Belgium,V. Kompany,86
Germany,M. Götze,85
Spain,Sergio Busquets,85
Germany,T. Kroos,85
France,K. Benzema,85
Uruguay,E. Cavani,85
Spain,Diego Costa,85
Chile,A. Vidal,85
France,H. Lloris,85
Spain,Javi Martinez,85
Spain,Juan Mata,85
Germany,J. Boateng,85
Czech Republic,P. Čech,85
Argentina,C. Tévez,85
Spain,Piqué,84
Turkey,A. Turan,84
Chile,A. Sánchez,84
Brazil,Oscar,84
France,S. Nasri,84
Morocco,M. Benatia,84
Germany,S. Khedira,84
Argentina,G. Higuaín,84
Italy,S. Sirigu,84
Spain,Casillas,84
Italy,A. Pirlo,84
Spain,Xabi Alonso,84
Italy,D. De Rossi,84
Italy,G. Chiellini,84
Netherlands,W. Sneijder,84
Spain,Santi Cazorla,84
Netherlands,K. Huntelaar,84
Spain,Cesc Fàbregas,84
Uruguay,D. Godín,84
France,P. Pogba,83
Spain,Isco,83
Germany,I. Gündoğan,83
Spain,De Gea,83
Colombia,J. Cuadrado,83
England,D. Sturridge,83
Bosnia and Herzegovina,M. Pjanić,83
Wales,A. Ramsey,83
Spain,Pedro,83
Argentina,E. Garay,83
France,B. Matuidi,83
France,S. Ruffier,83
Croatia,I. Rakitić,83
Italy,A. Candreva,83
Germany,R. Weidenfeller,83
England,J. Terry,83
Germany,P. Mertesacker,83
France,J. Toulalan,83
Portugal,Pepe,83
Italy,A. Barzagli,83
Serbia,N. Vidić,83
Argentina,J. Mascherano,83
Spain,Negredo,83
Brazil,Dani Alves,83
Spain,Jesús Navas,83
Spain,Diego López,83
Russia,I. Akinfeev,83
Peru,J. Farfán,83
Portugal,João Moutinho,83
Slovenia,S. Handanovič,83
Brazil,Miranda,83
Italy,C. Marchisio,83
Chile,C. Bravo,83
Bosnia and Herzegovina,E. Džeko,83
Croatia,M. Mandžukić,83
Japan,S. Kagawa,83
Brazil,Hulk,83
Denmark,C. Eriksen,82
Germany,M. ter Stegen,82
France,A. Griezmann,82
Mexico,C. Vela,82
Austria,D. Alaba,82
Brazil,Lucas,82
Slovakia,M. Hamšik,82
Italy,M. Balotelli,82
Belgium,D. Mertens,82
Brazil,Marcelo,82
Serbia,N. Matić,82
Germany,B. Leno,82
Spain,Koke,82
Colombia,J. Martínez,82
Italy,G. Rossi,82
Bosnia and Herzegovina,A. Begović,82
Belgium,J. Vertonghen,82
Greece,Sokratis,82
Germany,B. Höwedes,82
Brazil,Willian,82
Serbia,N. Subotić,82
Argentina,N. Gaitán,82
Ivory Coast,S. Doumbia,82
England,J. Hart,82
Belgium,S. Mignolet,82
Brazil,David Luiz,82
Brazil,Luiz Gustavo,82
Italy,G. Buffon,82
England,S. Gerrard,82
United States,T. Howard,82
Portugal,Danny,82
Brazil,Júlio César,82
Italy,T. Motta,82
Germany,R. Adler,82
Brazil,Alex,82
Brazil,Diego,82
Argentina,P. Zabaleta,82
Spain,Gabi,82
Germany,M. Gomez,82
Argentina,R. Palacio,82
Brazil,Dante,82
Argentina,E. Lavezzi,82
Spain,Borja Valero,82
England,L. Baines,82
France,S. Mandanda,82
Brazil,Filipe Luís,82
Poland,J. Błaszczykowski,82
Poland,L. Piszczek,82
Brazil,Hernanes,82
Uruguay,F. Muslera,82
Venezuela,F. Amorebielsa,82
Algeria,S. Feghouli,81
France,R. Varane,81
France,A. Laporte,81
Brazil,Coutinho,81
Spain,Thiago,81
Belgium,K. De Bruyne,81
England,T. Walcott,81
Spain,Jordi Alba,81
England,J. Wilshere,81
Netherlands,K. Strootman,81
Armenia,H. Mkhitaryan,81
Brazil,Roberto Firmino,81
Mexico,G. dos Santos,81
Turkey,N. Şahin,81
Brazil,Leandro Castán,81
Germany,L. Bender,81
Montenegro,S. Jovetić,81
Spain,Iturraspe,81
Ivory Coast,W. Bony,81
Germany,A. Schürrle,81
Ivory Coast,Gervinho,81
Germany,S. Bender,81
Mexico,J. Hernández,81
France,M. Sakho,81
Portugal,Nani,81
Brazil,Ramires,81
Cameroon,S. Eto'o,81
Germany,M. Klose,81
Spain,José Reina,81
Bulgaria,D. Berbatov,81
Ivory Coast,D. Drogba,81
England,A. Cole,81
Netherlands,R. van der Vaart,81
Spain,Fernando Torres,81
Netherlands,N. de Jong,81
France,C. Carrasso,81
Brazil,Felipe Melo,81
Brazil,Fernandinho,81
Germany,S. Kießling,81
Turkey,T. Zengin,81
Spain,Soldado,81
Brazil,Luisão,81
Denmark,D. Agger,81
United States,C. Dempsey,81
Italy,R. Montolivo,81
Spain,Llorente,81
Morocco,M. Boussoufa,81
England,G. Cahill,81
France,L. Koscielny,81
Brazil,Diego Alves,81
Slovakia,M. Škrtel,81
France,Y. Cabaye,81
France,M. Valbuena,81
Serbia,B. Ivanović,81
Portugal,Beto,81
Colombia,C. Bacca,81
Italy,S. El Shaarawy,80
Spain,Parejo,80
France,E. Mangala,80
Belgium,R. Lukaku,80
Spain,Rodrigo,80
Italy,M. Verratti,80
England,R. Sterling,80
Spain,Iñigo Martínez,80
Brazil,Bernard,80
Belgium,A. Witsel,80
Argentina,E. Banega,80
Belgium,C. Benteke,80
Brazil,Paulinho,80
Spain,Susaeta,80
Spain,Muniaín,80
Italy,C. Immobile,80
Switzerland,X. Shaqiri,80
Germany,J. Draxler,80
France,M. Schneiderlin,80
Portugal,Rui Patrício,80
Germany,K. Trapp,80
Brazil,Douglas Costa,80
Argentina,N. Otamendi,80
Germany,H. Badstuber,80
France,M. Gonalons,80
Switzerland,R. Rodriguez,80
Nigeria,C. Emenike,80
Spain,Kiko Casilla,80
Germany,S. Sam,80
Spain,José Callejón,80
Poland,W. Szczęsny,80
Russia,A. Dzyuba,80
Venezuela,S. Rondón,80
Belgium,M. Dembélé,80
Germany,G. Castro,80
Ghana,K. Boateng,80
Spain,Beñat,80
Italy,A. Cerci,80
France,L. Rémy,80
Croatia,D. Lovren,80
Serbia,D. Tadić,80
Belgium,K. Mirallas,80
Denmark,S. Kjær,80
Turkey,O. Kivrak,80
Italy,F. Totti,80
Portugal,Tiago,80
England,G. Barry,80
Italy,A. Cassano,80
Czech Republic,T. Rosický,80
Portugal,Quaresma,80
Brazil,Ronaldinho,80
Spain,Mikel Arteta,80
England,J. Defoe,80
France,P. Evra,80
Togo,E. Adebayor,80
Spain,Iraola,80
Spain,Aduriz,80
France,J. Mathieu,80
Spain,David Villa,80
Switzerland,D. Benaglio,80
Portugal,Bruno Alves,80
Nigeria,V. Enyeama,80
Mexico,G. Ochoa,80
Brazil,Raffael,80
Russia,I. Denisov,80
France,R. Mavuba,80
France,G. Clichy,80
Spain,Raúl Albiol,80
Cameroon,A. Song,80
France,M. Debuchy,80
France,L. Perrin,80
France,B. Sagna,80
Ecuador,A. Valencia,80
Brazil,Naldo,80
Senegal,D. Ba,80
Portugal,Miguel Veloso,80
Argentina,F. Fazio,80
Cameroon,A. Chedjou,80
Argentina,A. Costa,80
Montenegro,M. Baša,80
