team,player,overall
Argentina,L. Messi,94
Portugal,Cristiano Ronaldo,93
Brazil,Neymar Jr,92
Slovenia,J. Oblak,91
Belgium,E. Hazard,91
Belgium,K. De Bruyne,91
Germany,M. ter Stegen,90
Netherlands,V. van Dijk,90
Croatia,L. Modrić,90
Egypt,M. Salah,90
France,K. Mbappé,89
Senegal,K. Koulibaly,89
England,H. Kane,89
Brazil,Alisson,89
Spain,De Gea,89
France,N. Kanté,89
Italy,G. Chiellini,89
Argentina,S. Agüero,89
Spain,Sergio Ramos,89
Uruguay,L. Suárez,89
Poland,R. Lewandowski,89
Spain,Sergio Busquets,89
France,A. Griezmann,89
Argentina,P. Dybala,88
France,P. Pogba,88
Brazil,Ederson,88
England,R. Sterling,88
Denmark,C. Eriksen,88
Belgium,T. Courtois,88
Spain,Piqué,88
Slovenia,S. Handanovič,88
Germany,M. Neuer,88
France,H. Lloris,88
Spain,David Silva,88
Uruguay,E. Cavani,88
Uruguay,D. Godín,88
Germany,T. Kroos,88
Germany,M. Reus,88
Gabon,P. Aubameyang,88
Senegal,S. Mané,88
France,A. Laporte,87
Portugal,Bernardo Silva,87
Brazil,Casemiro,87
South Korea,H. Son,87
Brazil,Fernandinho,87
Brazil,Thiago Silva,87
France,K. Benzema,87
Belgium,J. Vertonghen,87
Belgium,D. Mertens,87
Germany,M. Hummels,87
Belgium,T. Alderweireld,87
Spain,Jordi Alba,87
Spain,Thiago,87
Costa Rica,K. Navas,87
Italy,L. Insigne,87
Germany,L. Sané,86
Brazil,Marquinhos,86
Slovakia,M. Škriniar,86
Italy,M. Verratti,86
France,S. Umtiti,86
Poland,W. Szczęsny,86
Germany,J. Kimmich,86
Spain,Isco,86
Brazil,Roberto Firmino,86
Croatia,I. Rakitić,86
Bosnia and Herzegovina,M. Pjanić,86
Argentina,A. Di María,86
Italy,L. Bonucci,86
Brazil,Coutinho,86
Spain,Parejo,86
Germany,T. Müller,86
Italy,C. Immobile,86
France,A. Lacazette,86
Netherlands,M. de Ligt,85
Italy,G. Donnarumma,85
Netherlands,F. de Jong,85
France,R. Varane,85
Germany,N. Süle,85
Serbia,S. Milinković-Savić,85
Spain,Rodri,85
Spain,Saúl,85
Brazil,Fabinho,85
Scotland,A. Robertson,85
Uruguay,J. Giménez,85
France,C. Lenglet,85
Portugal,Bruno Fernandes,85
Portugal,A. Lopes,85
Hungary,P. Gulácsi,85
Switzerland,R. Bürki,85
Belgium,R. Lukaku,85
Greece,K. Manolas,85
Brazil,Neto,85
Austria,D. Alaba,85
Argentina,M. Icardi,85
Spain,Carvajal,85
Morocco,H. Ziyech,85
Sweden,Z. Ibrahimović,85
Argentina,A. Gómez,85
Argentina,G. Higuaín,85
France,B. Matuidi,85
Wales,G. Bale,85
Brazil,Marcelo,85
Belgium,A. Witsel,85
Brazil,Alex Sandro,85
Spain,Iago Aspas,85
Spain,Koke,85
Colombia,J. Rodríguez,85
Brazil,Allan,85
England,J. Sancho,84
Germany,K. Havertz,84
France,O. Dembélé,84
Spain,Kepa,84
Portugal,João Cancelo,84
England,D. Alli,84
France,L. Hernández,84
Brazil,Arthur,84
Netherlands,M. Depay,84
Germany,L. Goretzka,84
Germany,J. Brandt,84
France,K. Coman,84
Germany,S. Gnabry,84
France,N. Fekir,84
Germany,B. Leno,84
Spain,Luis Alberto,84
Brazil,Alex Telles,84
Czech Republic,J. Pavlenka,84
Netherlands,S. de Vrij,84
Brazil,Felipe Anderson,84
Portugal,Pepe,84
Portugal,João Moutinho,84
France,S. Ruffier,84
Italy,S. Sirigu,84
Slovakia,M. Hamšík,84
