season,team,cluster
2002,Mississippi,2
2002,Mississippi State,2
2002,Missouri,1
2002,Navy,5
2002,Nebraska,1
2002,Nevada,7
2002,Nevada-Las Vegas,10
2002,New Mexico,10
2002,New Mexico State,9
2002,North Carolina,5
2002,North Carolina State,5
2002,North Texas,9
2002,Northern Illinois,0
2002,Northwestern,4
2002,Notre Dame,8
2002,Ohio,0
2002,Ohio State,4
2002,Oklahoma,1
2002,Oklahoma State,1
2002,Oregon,6
2002,Oregon State,6
2002,Penn State,4
2002,Pittsburgh,8
2002,Purdue,4
2002,Rice,7
2002,Rutgers,8
2002,San Diego State,10
2002,San Jose State,7
2002,South Carolina,2
2002,South Florida,3
2002,Southern California,6
2002,Southern Methodist,7
2002,Southern Mississippi,3
2002,Stanford,6
2002,Syracuse,8
2002,Temple,8
2002,Tennessee,2
2002,Texas,1
2002,Texas A&M,1
2002,Texas Christian,3
2002,Texas Tech,1
2002,Texas-El Paso,7
2002,Toledo,0
2002,Troy,1
2002,Tulane,3
2002,Tulsa,7
2002,UCLA,6
2002,Utah,10
2002,Utah State,9
2002,Vanderbilt,2
2002,Virginia,5
2002,Virginia Tech,8
2002,Wake Forest,5
2002,Washington,6
2002,Washington State,6
2002,West Virginia,8
2002,Western Michigan,0
2002,Wisconsin,4
2002,Wyoming,10
2003,Air Force,9
2003,Akron,8
2003,Alabama,12
2003,Alabama-Birmingham,1
2003,Arizona,3
2003,Arizona State,3
2003,Arkansas,12
2003,Arkansas State,6
2003,Army,1
2003,Auburn,12
2003,Ball State,10
2003,Baylor,0
2003,Boise State,4
2003,Boston College,7
2003,Bowling Green,10
2003,Brigham Young,9
2003,Buffalo,8
2003,California,3
2003,Central Florida,8
2003,Central Michigan,10
2003,Cincinnati,1
2003,Clemson,5
2003,Colorado,0
2003,Colorado State,9
2003,Connecticut,8
2003,Duke,5
2003,East Carolina,1
2003,Eastern Michigan,10
2003,Florida,11
2003,Florida State,5
2003,Fresno State,4
2003,Georgia,11
2003,Georgia Tech,5
2003,Hawaii,4
2003,Houston,1
2003,Idaho,6
2003,Illinois,2
2003,Indiana,2
2003,Iowa,2
2003,Iowa State,0
2003,Kansas,0
2003,Kansas State,0
2003,Kent State,8
2003,Kentucky,11
2003,Louisiana,6
2003,Louisiana State,12
2003,Louisiana Tech,4
2003,Louisiana-Monroe,6
2003,Louisville,1
2003,Marshall,8
2003,Maryland,5
2003,Memphis,1
2003,Miami (FL),7
2003,Miami (OH),8
2003,Michigan,2
2003,Michigan State,2
2003,Middle Tennessee State,6
2003,Minnesota,2
2003,Mississippi,12
2003,Mississippi State,12
2003,Missouri,0
2003,Navy,1
2003,Nebraska,0
2003,Nevada,4
2003,Nevada-Las Vegas,9
2003,New Mexico,9
2003,New Mexico State,6
2003,North Carolina,5
2003,North Carolina State,5
2003,North Texas,6
2003,Northern Illinois,10
2003,Northwestern,2
2003,Notre Dame,7
2003,Ohio,8
2003,Ohio State,2
2003,Oklahoma,0
2003,Oklahoma State,0
2003,Oregon,3
2003,Oregon State,3
2003,Penn State,2
2003,Pittsburgh,7
2003,Purdue,2
2003,Rice,4
2003,Rutgers,7
2003,San Diego State,9
2003,San Jose State,4
2003,South Carolina,11
2003,South Florida,1
2003,Southern California,3
2003,Southern Methodist,4
2003,Southern Mississippi,1
2003,Stanford,3
2003,Syracuse,7
2003,Temple,7
2003,Tennessee,11
2003,Texas,0
2003,Texas A&M,0
2003,Texas Christian,1
2003,Texas Tech,0
2003,Texas-El Paso,4
2003,Toledo,10
2003,Troy,6
2003,Tulane,1
2003,Tulsa,4
2003,UCLA,3
2003,Utah,9
2003,Utah State,6
2003,Vanderbilt,11
2003,Virginia,5
2003,Virginia Tech,7
2003,Wake Forest,5
2003,Washington,3
2003,Washington State,3
2003,West Virginia,7
2003,Western Michigan,10
2003,Wisconsin,2
2003,Wyoming,9
2004,Air Force,8
2004,Akron,0
2004,Alabama,1
2004,Alabama-Birmingham,6
2004,Arizona,4
2004,Arizona State,4
2004,Arkansas,1
2004,Arkansas State,3
2004,Army,6
2004,Auburn,1
2004,Ball State,0
2004,Baylor,2
2004,Boise State,7
2004,Boston College,9
2004,Bowling Green,0
2004,Brigham Young,8
2004,Buffalo,0
2004,California,4
2004,Central Florida,0
2004,Central Michigan,0
2004,Cincinnati,6
2004,Clemson,10
2004,Colorado,2
2004,Colorado State,8
2004,Connecticut,9
2004,Duke,11
2004,East Carolina,6
2004,Eastern Michigan,0
2004,Florida,1
2004,Florida A&M,3
2004,Florida Atlantic,3
2004,Florida International,3
2004,Florida State,10
2004,Fresno State,7
2004,Georgia,1
2004,Georgia Tech,11
2004,Hawaii,7
2004,Houston,6
2004,Idaho,3
2004,Illinois,5
2004,Indiana,5
2004,Iowa,5
2004,Iowa State,2
2004,Kansas,2
2004,Kansas State,2
2004,Kent State,0
2004,Kentucky,1
2004,Louisiana,3
2004,Louisiana State,1
2004,Louisiana Tech,7
2004,Louisiana-Monroe,3
2004,Louisville,6
2004,Marshall,0
2004,Maryland,11
2004,Memphis,6
2004,Miami (FL),10
2004,Miami (OH),0
2004,Michigan,5
2004,Michigan State,5
2004,Middle Tennessee State,3
2004,Minnesota,5
2004,Mississippi,1
2004,Mississippi State,1
2004,Missouri,2
2004,Navy,7
2004,Nebraska,2
2004,Nevada,7
2004,Nevada-Las Vegas,8
2004,New Mexico,8
2004,New Mexico State,3
2004,North Carolina,10
2004,North Carolina State,10
2004,North Texas,3
2004,Northern Illinois,0
2004,Northwestern,5
2004,Notre Dame,4
2004,Ohio,0
2004,Ohio State,5
2004,Oklahoma,2
2004,Oklahoma State,2
2004,Oregon,4
2004,Oregon State,4
2004,Penn State,5
2004,Pittsburgh,9
2004,Purdue,5
2004,Rice,7
2004,Rutgers,9
2004,San Diego State,8
2004,San Jose State,7
2004,South Carolina,1
2004,South Florida,6
2004,Southern California,4
2004,Southern Methodist,7
2004,Southern Mississippi,6
2004,Stanford,4
2004,Syracuse,9
2004,Temple,9
2004,Tennessee,1
2004,Texas,2
2004,Texas A&M,2
2004,Texas Christian,6
2004,Texas Tech,2
2004,Texas-El Paso,7
2004,Toledo,0
2004,Troy,3
2004,Tulane,6
2004,Tulsa,7
2004,UCLA,4
2004,Utah,8
2004,Utah State,3
2004,Vanderbilt,1
2004,Virginia,11
2004,Virginia Tech,11
2004,Wake Forest,10
2004,Washington,4
2004,Washington State,4
2004,West Virginia,9
2004,Western Michigan,0
2004,Wisconsin,5
2004,Wyoming,8
2005,Air Force,4
2005,Akron,0
2005,Alabama,1
2005,Alabama-Birmingham,3
2005,Arizona,5
2005,Arizona State,5
2005,Arkansas,1
2005,Arkansas State,9
2005,Army,4
2005,Auburn,1
2005,Ball State,0
2005,Baylor,2
2005,Boise State,7
2005,Boston College,11
2005,Bowling Green,0
2005,Brigham Young,4
2005,Buffalo,0
2005,California,5
2005,Central Florida,3
2005,Central Michigan,0
2005,Cincinnati,8
2005,Clemson,10
2005,Colorado,2
2005,Colorado State,4
2005,Connecticut,8
2005,Duke,10
2005,East Carolina,3
2005,Eastern Michigan,0
2005,Florida,1
2005,Florida Atlantic,9
2005,Florida International,9
2005,Florida State,10
2005,Fresno State,7
2005,Georgia,1
2005,Georgia Tech,10
2005,Hawaii,7
2005,Houston,3
2005,Idaho,7
2005,Illinois,6
2005,Indiana,6
2005,Iowa,6
2005,Iowa State,2
2005,Kansas,2
2005,Kansas State,2
2005,Kent State,0
2005,Kentucky,1
2005,Louisiana,9
2005,Louisiana State,1
2005,Louisiana Tech,7
2005,Louisiana-Monroe,9
2005,Louisville,8
2005,Marshall,3
2005,Maryland,11
2005,Memphis,3
2005,Miami (FL),10
2005,Miami (OH),0
2005,Michigan,6
2005,Michigan State,6
2005,Middle Tennessee State,9
2005,Minnesota,6
2005,Mississippi,1
2005,Mississippi State,1
2005,Missouri,2
2005,Navy,4
2005,Nebraska,2
2005,Nevada,7
2005,Nevada-Las Vegas,4
2005,New Mexico,4
2005,New Mexico State,7
2005,North Carolina,11
2005,North Carolina State,11
2005,North Texas,9
2005,Northern Illinois,0
2005,Northwestern,6
2005,Notre Dame,5
2005,Ohio,0
2005,Ohio State,6
2005,Oklahoma,2
2005,Oklahoma State,2
2005,Oregon,5
2005,Oregon State,5
2005,Penn State,6
2005,Pittsburgh,8
2005,Purdue,6
2005,Rice,3
2005,Rutgers,8
2005,San Diego State,4
2005,San Jose State,7
2005,South Carolina,1
2005,South Florida,8
2005,Southern California,5
2005,Southern Methodist,3
2005,Southern Mississippi,3
2005,Stanford,5
2005,Syracuse,8
2005,Temple,0
2005,Tennessee,1
2005,Texas,2
2005,Texas A&M,2
2005,Texas Christian,4
2005,Texas Tech,2
2005,Texas-El Paso,3
2005,Toledo,0
2005,Troy,9
2005,Tulane,3
2005,Tulsa,3
2005,UCLA,5
2005,Utah,4
2005,Utah State,7
2005,Vanderbilt,1
2005,Virginia,11
2005,Virginia Tech,11
2005,Wake Forest,10
2005,Washington,5
2005,Washington State,5
2005,West Virginia,8
2005,Western Michigan,0
2005,Wisconsin,6
2005,Wyoming,4
2006,Air Force,0
2006,Akron,2
2006,Alabama,6
2006,Alabama-Birmingham,1
2006,Arizona,7
2006,Arizona State,7
2006,Arkansas,6
2006,Arkansas State,9
2006,Army,1
2006,Auburn,6
2006,Ball State,2
2006,Baylor,4
2006,Boise State,0
2006,Boston College,3
2006,Bowling Green,2
2006,Brigham Young,0
2006,Buffalo,2
2006,California,7
2006,Central Florida,1
2006,Central Michigan,2
2006,Cincinnati,8
2006,Clemson,3
2006,Colorado,4
2006,Colorado State,0
2006,Connecticut,8
2006,Duke,3
2006,East Carolina,1
2006,Eastern Michigan,2
2006,Florida,6
2006,Florida Atlantic,9
2006,Florida International,9
2006,Florida State,3
2006,Fresno State,0
2006,Georgia,6
2006,Georgia Tech,3
2006,Hawaii,0
2006,Houston,1
2006,Idaho,0
2006,Illinois,5
2006,Indiana,5
2006,Iowa,5
2006,Iowa State,4
2006,Kansas,4
2006,Kansas State,4
2006,Kent State,2
2006,Kentucky,6
2006,Louisiana,9
2006,Louisiana State,6
2006,Louisiana Tech,0
2006,Louisiana-Monroe,9
2006,Louisville,8
2006,Marshall,1
2006,Maryland,3
2006,Memphis,1
2006,Miami (FL),3
2006,Miami (OH),2
2006,Michigan,5
2006,Michigan State,5
2006,Middle Tennessee State,9
2006,Minnesota,5
2006,Mississippi,6
2006,Mississippi State,6
2006,Missouri,4
2006,Navy,1
2006,Nebraska,4
2006,Nevada,0
2006,Nevada-Las Vegas,0
2006,New Mexico,0
2006,New Mexico State,0
2006,North Carolina,3
2006,North Carolina State,3
2006,North Texas,9
2006,Northern Illinois,2
2006,Northwestern,5
2006,Notre Dame,5
2006,Ohio,2
2006,Ohio State,5
2006,Oklahoma,4
2006,Oklahoma State,4
2006,Oregon,7
2006,Oregon State,7
2006,Penn State,5
2006,Pittsburgh,8
2006,Purdue,5
2006,Rice,1
2006,Rutgers,8
2006,San Diego State,0
2006,San Jose State,0
2006,South Carolina,6
2006,South Florida,8
2006,Southern California,7
2006,Southern Methodist,1
2006,Southern Mississippi,1
2006,Stanford,7
2006,Syracuse,8
2006,Temple,2
2006,Tennessee,6
2006,Texas,4
2006,Texas A&M,4
2006,Texas Christian,0
2006,Texas Tech,4
2006,Texas-El Paso,1
2006,Toledo,2
2006,Troy,9
2006,Tulane,1
2006,Tulsa,1
2006,UCLA,7
2006,Utah,0
2006,Utah State,0
2006,Vanderbilt,6
2006,Virginia,3
2006,Virginia Tech,3
2006,Wake Forest,3
2006,Washington,7
2006,Washington State,7
2006,West Virginia,8
2006,Western Michigan,2
2006,Wisconsin,5
2006,Wyoming,0
2007,Air Force,7
2007,Akron,0
2007,Alabama,1
2007,Alabama-Birmingham,3
2007,Arizona,6
2007,Arizona State,6
2007,Arkansas,1
2007,Arkansas State,9
2007,Army,0
2007,Auburn,1
2007,Ball State,0
2007,Baylor,5
2007,Boise State,8
2007,Boston College,2
2007,Bowling Green,0
2007,Brigham Young,7
2007,Buffalo,0
2007,California,6
2007,Central Florida,3
2007,Central Michigan,0
2007,Cincinnati,10
2007,Clemson,2
2007,Colorado,5
2007,Colorado State,7
2007,Connecticut,10
2007,Duke,2
2007,East Carolina,3
2007,Eastern Michigan,0
2007,Florida,1
2007,Florida Atlantic,9
2007,Florida International,9
2007,Florida State,2
2007,Fresno State,8
2007,Georgia,1
2007,Georgia Tech,2
2007,Hawaii,8
2007,Houston,3
2007,Idaho,8
2007,Illinois,4
2007,Indiana,4
2007,Iowa,4
2007,Iowa State,5
2007,Kansas,5
2007,Kansas State,5
2007,Kent State,0
2007,Kentucky,1
2007,Louisiana,9
2007,Louisiana State,1
2007,Louisiana Tech,8
2007,Louisiana-Monroe,9
2007,Louisville,10
2007,Marshall,3
2007,Maryland,2
2007,Memphis,3
2007,Miami (FL),2
2007,Miami (OH),0
2007,Michigan,4
2007,Michigan State,4
2007,Middle Tennessee State,9
2007,Minnesota,4
2007,Mississippi,1
2007,Mississippi State,1
2007,Missouri,5
2007,Navy,0
2007,Nebraska,5
2007,Nevada,8
2007,Nevada-Las Vegas,7
2007,New Mexico,7
2007,New Mexico State,8
2007,North Carolina,2
2007,North Carolina State,2
2007,North Texas,9
2007,Northern Illinois,0
2007,Northwestern,4
2007,Notre Dame,4
2007,Ohio,0
2007,Ohio State,4
2007,Oklahoma,5
2007,Oklahoma State,5
2007,Oregon,6
2007,Oregon State,6
2007,Penn State,4
2007,Pittsburgh,10
2007,Purdue,4
2007,Rice,3
2007,Rutgers,10
2007,San Diego State,7
2007,San Jose State,8
2007,South Carolina,1
2007,South Florida,10
2007,Southern California,6
2007,Southern Methodist,3
2007,Southern Mississippi,3
2007,Stanford,6
2007,Syracuse,10
2007,Temple,0
2007,Tennessee,1
2007,Texas,5
2007,Texas A&M,5
2007,Texas Christian,7
2007,Texas Tech,5
2007,Texas-El Paso,3
2007,Toledo,0
2007,Troy,9
2007,Tulane,3
2007,Tulsa,3
2007,UCLA,6
2007,Utah,7
2007,Utah State,8
2007,Vanderbilt,1
2007,Virginia,2
2007,Virginia Tech,2
2007,Wake Forest,2
2007,Washington,6
2007,Washington State,6
2007,West Virginia,10
2007,Western Kentucky,9
2007,Western Michigan,0
2007,Wisconsin,4
2007,Wyoming,7
2008,Air Force,6
2008,Akron,0
2008,Alabama,10
2008,Alabama-Birmingham,1
2008,Arizona,4
2008,Arizona State,4
2008,Arkansas,10
2008,Arkansas State,8
2008,Army,0
2008,Auburn,10
2008,Ball State,0
2008,Baylor,3
2008,Boise State,7
2008,Boston College,2
2008,Bowling Green,0
2008,Brigham Young,6
2008,Buffalo,0
2008,California,4
2008,Central Florida,1
2008,Central Michigan,0
2008,Cincinnati,9
2008,Clemson,2
2008,Colorado,3
2008,Colorado State,6
2008,Connecticut,9
2008,Duke,2
2008,East Carolina,1
2008,Eastern Michigan,0
2008,Florida,11
2008,Florida Atlantic,8
2008,Florida International,8
2008,Florida State,2
2008,Fresno State,7
2008,Georgia,11
2008,Georgia Tech,2
2008,Hawaii,7
2008,Houston,1
2008,Idaho,7
2008,Illinois,5
2008,Indiana,5
2008,Iowa,5
2008,Iowa State,3
2008,Kansas,3
2008,Kansas State,3
2008,Kent State,0
2008,Kentucky,11
2008,Louisiana,8
2008,Louisiana State,10
2008,Louisiana Tech,7
2008,Louisiana-Monroe,8
2008,Louisville,9
2008,Marshall,1
2008,Maryland,2
2008,Memphis,1
2008,Miami (FL),2
2008,Miami (OH),0
2008,Michigan,5
2008,Michigan State,5
2008,Middle Tennessee State,8
2008,Minnesota,5
2008,Mississippi,10
2008,Mississippi State,10
2008,Missouri,3
2008,Navy,0
2008,Nebraska,3
2008,Nevada,7
2008,Nevada-Las Vegas,6
2008,New Mexico,6
2008,New Mexico State,7
2008,North Carolina,2
2008,North Carolina State,2
2008,North Texas,8
2008,Northern Illinois,0
2008,Northwestern,5
2008,Notre Dame,4
2008,Ohio,0
2008,Ohio State,5
2008,Oklahoma,3
2008,Oklahoma State,3
2008,Oregon,4
2008,Oregon State,4
2008,Penn State,5
2008,Pittsburgh,9
2008,Purdue,5
2008,Rice,1
2008,Rutgers,9
2008,San Diego State,6
2008,San Jose State,7
2008,South Carolina,11
2008,South Florida,9
2008,Southern California,4
2008,Southern Methodist,1
2008,Southern Mississippi,1
2008,Stanford,4
2008,Syracuse,9
2008,Temple,0
2008,Tennessee,11
2008,Texas,3
2008,Texas A&M,3
2008,Texas Christian,6
2008,Texas Tech,3
2008,Texas-El Paso,1
2008,Toledo,0
2008,Troy,8
2008,Tulane,1
2008,Tulsa,1
2008,UCLA,4
2008,Utah,6
2008,Utah State,7
2008,Vanderbilt,11
2008,Virginia,2
2008,Virginia Tech,2
2008,Wake Forest,2
2008,Washington,4
2008,Washington State,4
2008,West Virginia,9
2008,Western Kentucky,8
2008,Western Michigan,0
2008,Wisconsin,5
2008,Wyoming,6
2009,Air Force,8
2009,Akron,0
2009,Alabama,3
2009,Alabama-Birmingham,1
2009,Arizona,5
2009,Arizona State,5
2009,Arkansas,3
2009,Arkansas State,9
2009,Army,0
2009,Auburn,3
2009,Ball State,0
2009,Baylor,2
2009,Boise State,7
2009,Boston College,4
2009,Bowling Green,0
2009,Brigham Young,8
2009,Buffalo,0
2009,California,5
2009,Central Florida,1
2009,Central Michigan,0
2009,Cincinnati,10
2009,Clemson,4
2009,Colorado,2
2009,Colorado State,8
2009,Connecticut,10
2009,Duke,4
2009,East Carolina,1
2009,Eastern Michigan,0
2009,Florida,3
2009,Florida Atlantic,9
2009,Florida International,9
2009,Florida State,4
2009,Fresno State,7
2009,Georgia,3
2009,Georgia Tech,4
2009,Hawaii,7
2009,Houston,1
2009,Idaho,7
2009,Illinois,6
2009,Indiana,6
2009,Iowa,6
2009,Iowa State,2
2009,Kansas,2
2009,Kansas State,2
2009,Kent State,0
2009,Kentucky,3
2009,Louisiana,9
2009,Louisiana State,3
2009,Louisiana Tech,7
2009,Louisiana-Monroe,9
2009,Louisville,10
2009,Marshall,1
2009,Maryland,4
2009,Memphis,1
2009,Miami (FL),4
2009,Miami (OH),0
2009,Michigan,6
2009,Michigan State,6
2009,Middle Tennessee State,9
2009,Minnesota,6
2009,Mississippi,3
2009,Mississippi State,3
2009,Missouri,2
2009,Navy,7
2009,Nebraska,2
2009,Nevada,7
2009,Nevada-Las Vegas,8
2009,New Mexico,8
2009,New Mexico State,7
2009,North Carolina,4
2009,North Carolina State,4
2009,North Texas,9
2009,Northern Illinois,0
2009,Northwestern,6
2009,Notre Dame,5
2009,Ohio,0
2009,Ohio State,6
2009,Oklahoma,2
2009,Oklahoma State,2
2009,Oregon,5
2009,Oregon State,5
2009,Penn State,6
2009,Pittsburgh,10
2009,Purdue,6
2009,Rice,1
2009,Rutgers,10
2009,San Diego State,8
2009,San Jose State,7
2009,South Carolina,3
2009,South Florida,10
2009,Southern California,5
2009,Southern Methodist,1
2009,Southern Mississippi,1
2009,Stanford,5
2009,Syracuse,10
2009,Temple,0
2009,Tennessee,3
2009,Texas,2
2009,Texas A&M,2
2009,Texas Christian,8
2009,Texas Tech,2
2009,Texas-El Paso,1
2009,Toledo,0
2009,Troy,9
2009,Tulane,1
2009,Tulsa,1
2009,UCLA,5
2009,Utah,8
2009,Utah State,7
2009,Vanderbilt,3
2009,Virginia,4
2009,Virginia Tech,4
2009,Wake Forest,4
2009,Washington,5
2009,Washington State,5
2009,West Virginia,10
2009,Western Kentucky,9
2009,Western Michigan,0
2009,Wisconsin,6
2009,Wyoming,8
2010,Air Force,9
2010,Akron,0
2010,Alabama,2
2010,Alabama-Birmingham,4
2010,Arizona,6
2010,Arizona State,6
2010,Arkansas,2
2010,Arkansas State,8
2010,Army,0
2010,Auburn,2
2010,Ball State,0
2010,Baylor,3
2010,Boise State,7
2010,Boston College,1
2010,Bowling Green,0
2010,Brigham Young,9
2010,Buffalo,0
2010,California,6
2010,Central Florida,4
2010,Central Michigan,0
2010,Cincinnati,10
2010,Clemson,1
2010,Colorado,3
2010,Colorado State,9
2010,Connecticut,10
2010,Duke,1
2010,East Carolina,4
2010,Eastern Michigan,0
2010,Florida,2
2010,Florida Atlantic,8
2010,Florida International,8
2010,Florida State,1
2010,Fresno State,7
2010,Georgia,2
2010,Georgia Tech,1
2010,Hawaii,7
2010,Houston,4
2010,Idaho,7
2010,Illinois,5
2010,Indiana,5
2010,Iowa,5
2010,Iowa State,3
2010,Kansas,3
2010,Kansas State,3
2010,Kent State,0
2010,Kentucky,2
2010,Louisiana,8
2010,Louisiana State,2
2010,Louisiana Tech,7
2010,Louisiana-Monroe,8
2010,Louisville,10
2010,Marshall,4
2010,Maryland,1
2010,Memphis,4
2010,Miami (FL),1
2010,Miami (OH),0
2010,Michigan,5
2010,Michigan State,5
2010,Middle Tennessee State,8
2010,Minnesota,5
2010,Mississippi,2
2010,Mississippi State,2
2010,Missouri,3
2010,Navy,1
2010,Nebraska,3
2010,Nevada,7
2010,Nevada-Las Vegas,9
2010,New Mexico,9
2010,New Mexico State,7
2010,North Carolina,1
2010,North Carolina State,1
2010,North Texas,8
2010,Northern Illinois,0
2010,Northwestern,5
2010,Notre Dame,5
2010,Ohio,0
2010,Ohio State,5
2010,Oklahoma,3
2010,Oklahoma State,3
2010,Oregon,6
2010,Oregon State,6
2010,Penn State,5
2010,Pittsburgh,10
2010,Purdue,5
2010,Rice,4
2010,Rutgers,10
2010,San Diego State,9
