season,franchise,elo_start,elo_end,elo_delta
2009,PHI,1500.0,1533.2420937458558,33.242093745855755
2009,ATL,1500.0,1526.435327407409,26.435327407408977
2009,ARI,1500.0,1474.0002463311296,-25.999753668870426
2009,COL,1500.0,1532.0374570864956,32.03745708649558
2009,BAL,1500.0,1455.398603876179,-44.601396123820905
2009,NYY,1500.0,1564.711739287016,64.71173928701592
2009,CIN,1500.0,1492.5118545862558,-7.488145413744178
2009,NYM,1500.0,1465.2837422203718,-34.71625777962822
2009,MIA,1500.0,1509.9789624521618,9.978962452161795
2009,WSN,1500.0,1443.4362646461327,-56.56373535386729
2009,HOU,1500.0,1463.2736431532965,-36.72635684670354
2009,CHC,1500.0,1503.3899013158286,3.389901315828638
2009,LAA,1500.0,1551.0783049217998,51.07830492179983
2009,ATH,1500.0,1504.2614987690524,4.261498769052423
2009,MIN,1500.0,1520.9612564873657,20.961256487365745
2009,SEA,1500.0,1497.391022693601,-2.6089773063990833
2009,SDP,1500.0,1475.576152863503,-24.42384713649699
2009,LAD,1500.0,1540.8841507845523,40.884150784552276
2009,STL,1500.0,1527.7308656598698,27.730865659869778
2009,PIT,1500.0,1440.7988710087986,-59.20112899120136
2009,TEX,1500.0,1514.9583764596575,14.95837645965753
2009,CLE,1500.0,1454.923025046963,-45.07697495303705
2009,TOR,1500.0,1496.8830720898654,-3.1169279101345637
2009,DET,1500.0,1495.1769867264738,-4.823013273526158
2009,BOS,1500.0,1542.384201528529,42.38420152852905
2009,TBR,1500.0,1510.331250170365,10.33125017036491
2009,CHW,1500.0,1499.180998394778,-0.8190016052219562
2009,KCR,1500.0,1452.4169005083295,-47.58309949167051
2009,SFG,1500.0,1521.24077379013,21.240773790130106
2009,MIL,1500.0,1490.1224559882342,-9.877544011765849
2010,BOS,1525.4305209171175,1538.625074776685,13.194553859567577
2010,NYY,1538.8270435722095,1553.102289272425,14.275245700215464
2010,ARI,1484.4001477986778,1459.8964650026496,-24.503682796028215
2010,SDP,1485.3456917181018,1510.79216731684,25.44647559873829
2010,ATL,1515.8611964444453,1531.7278158232286,15.866619378783298
2010,CHC,1502.0339407894971,1482.6421232869352,-19.391817502561935
2010,CHW,1499.5085990368668,1514.2130366139947,14.70443757712792
2010,CLE,1472.9538150281778,1458.247792369476,-14.70602265870184
2010,CIN,1495.5071127517535,1526.4673737310502,30.960260979296663
2010,STL,1516.6385193959218,1516.7804969547485,0.14197755882673846
2010,HOU,1477.9641858919779,1470.3528844235136,-7.611301468464262
2010,SFG,1512.7444642740782,1540.2133660910192,27.46890181694107
2010,KCR,1471.4501403049976,1442.2410125036972,-29.209127801300383
2010,DET,1497.1061920358843,1503.9674090496026,6.86121701371826
2010,LAA,1530.64698295308,1509.9947596742313,-20.652223278848624
2010,MIN,1512.5767538924194,1536.9489034058486,24.37214951342912
2010,MIL,1494.0734735929404,1482.1343673266736,-11.93910626626689
2010,COL,1519.2224742518974,1515.2464233551905,-3.9760508967069654
2010,NYM,1479.170245332223,1485.8035780526022,6.633332720379258
2010,MIA,1505.9873774712971,1496.002898844307,-9.98447862699004
2010,ATH,1502.5568992614315,1511.9548605546497,9.397961293218259
2010,SEA,1498.4346136161605,1441.2417465725307,-57.1928670436298
2010,PIT,1464.479322605279,1409.2106389853877,-55.26868361989136
2010,LAD,1524.5304904707314,1500.7544591255353,-23.77603134519609
2010,TEX,1508.9750258757945,1528.7742750613118,19.799249185517283
2010,TOR,1498.1298432539193,1517.7859263839614,19.656083130042134
2010,WSN,1466.0617587876795,1453.884644378145,-12.177114409534624
2010,PHI,1519.9452562475135,1557.1194958407873,37.174239593273796
2010,TBR,1506.198750102219,1546.0793396483564,39.880589546137344
2010,BAL,1473.2391623257074,1457.7943755746157,-15.44478675109167
2011,CIN,1515.8804242386302,1497.4972310520955,-18.383193186534754
2011,MIL,1489.2806203960042,1533.4551953898756,44.174574993871374
2011,KCR,1465.3446075022184,1472.7167829117757,7.372175409557258
2011,LAA,1505.9968558045389,1517.3630116253335,11.366155820794575
2011,LAD,1500.4526754753213,1514.9792048493691,14.526529374047868
